TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-04 23:47:09.870000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,9B519D76-B67A-4830-B05D-AEDD57C85D5A,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-04 23:39:08.076000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,7718A84F-E459-4DFD-A6AE-F488CEF10D4E,,0DC17FEF-3241-4822-BC27-E39F5366B8AC,False,286bad65-9e48-41b9-9c7e-014942e5e475
2015-10-04 23:38:21.195000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,Asia,Singapore,,Singapore,B9E41579-9B27-4481-8C75-C30A5D0E0CC9,,DB277452-9F26-4C68-A7C6-950927C4F3E5,False,2488c915-337a-448f-8117-ee245b6c1ebd
2015-10-04 23:32:09.915000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,9B519D76-B67A-4830-B05D-AEDD57C85D5A,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-04 23:34:38.311000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1670X939,Asia,Republic of Korea,,,D15998C7-5AC8-402F-9EC3-1E5486602AE3,,8E834440-DE21-4D95-AE74-A1F71FD2758B,False,UnknownIbizaUser
2015-10-04 23:34:52.296000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,DA4B752B-4B75-498A-9835-C61F5189A5DD,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-04 23:34:52.302000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,DA4B752B-4B75-498A-9835-C61F5189A5DD,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-04 23:34:52.306000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,DA4B752B-4B75-498A-9835-C61F5189A5DD,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-04 23:34:52.309000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,DA4B752B-4B75-498A-9835-C61F5189A5DD,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-04 23:32:53.517000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1280X1024,North America,United States,Washington,Olympia,817497B5-E085-4A16-9B40-5686933ACE30,,615C5869-9D7D-482A-88B5-97CA08A18563,False,3c8b18db-93af-4d7e-ae14-e6f45f2526d5
2015-10-04 23:59:21.277000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1536X864,North America,United States,California,San Mateo,2C69CEE4-8FD6-480E-A217-9DE430E42F08,,4E576870-AACB-4B28-B03A-FE35FEC5B641,False,aa9e803d-ec77-413e-99d8-dd49ac1a9032
2015-10-04 23:59:21.364000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1536X864,North America,United States,California,San Mateo,2C69CEE4-8FD6-480E-A217-9DE430E42F08,,4E576870-AACB-4B28-B03A-FE35FEC5B641,False,aa9e803d-ec77-413e-99d8-dd49ac1a9032
2015-10-04 23:59:21.511000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1536X864,North America,United States,California,San Mateo,2C69CEE4-8FD6-480E-A217-9DE430E42F08,,4E576870-AACB-4B28-B03A-FE35FEC5B641,False,aa9e803d-ec77-413e-99d8-dd49ac1a9032
2015-10-04 23:59:21.617000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1536X864,North America,United States,California,San Mateo,2C69CEE4-8FD6-480E-A217-9DE430E42F08,,4E576870-AACB-4B28-B03A-FE35FEC5B641,False,aa9e803d-ec77-413e-99d8-dd49ac1a9032
2015-10-04 23:26:40.498000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,11EBCCBB-CBD1-4CAB-A3D9-639ED080A541,False,57879096-5927-4354-b69d-803c895c8532
2015-10-04 23:26:40.500000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,11EBCCBB-CBD1-4CAB-A3D9-639ED080A541,False,57879096-5927-4354-b69d-803c895c8532
2015-10-04 23:26:40.559000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,11EBCCBB-CBD1-4CAB-A3D9-639ED080A541,False,57879096-5927-4354-b69d-803c895c8532
2015-10-04 23:26:40.563000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,11EBCCBB-CBD1-4CAB-A3D9-639ED080A541,False,57879096-5927-4354-b69d-803c895c8532
2015-10-04 23:24:07.848000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,7718A84F-E459-4DFD-A6AE-F488CEF10D4E,,0DC17FEF-3241-4822-BC27-E39F5366B8AC,False,286bad65-9e48-41b9-9c7e-014942e5e475
2015-10-04 23:21:18.021536100,System.Web.HttpException,Chrome,Chrome 45.0,Windows,Windows 10,,Europe,United Kingdom,England,London,3370258250664524636,,,,
2015-10-04 23:23:21.195000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,Asia,Singapore,,Singapore,B9E41579-9B27-4481-8C75-C30A5D0E0CC9,,DB277452-9F26-4C68-A7C6-950927C4F3E5,False,2488c915-337a-448f-8117-ee245b6c1ebd
2015-10-04 23:17:09.918000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,9B519D76-B67A-4830-B05D-AEDD57C85D5A,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-04 23:08:21.194000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,Asia,Singapore,,Singapore,B9E41579-9B27-4481-8C75-C30A5D0E0CC9,,DB277452-9F26-4C68-A7C6-950927C4F3E5,False,2488c915-337a-448f-8117-ee245b6c1ebd
2015-10-04 23:09:07.816000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,7718A84F-E459-4DFD-A6AE-F488CEF10D4E,,0DC17FEF-3241-4822-BC27-E39F5366B8AC,False,286bad65-9e48-41b9-9c7e-014942e5e475
