Host,URL,avgDuration,minDuration,maxDuration
insightsportal_in_2,/content/1.0.5764.28236/scripts/webtests/datamodels/azurefxdatamodels.js,2.052200, 2.052200, 2.052200
insightsportal_in_2,/content/dynamic/amdbundledefinition_69648c476db76848ff0b3e8739d20d51f65ee3bf.js,2.111200, 2.111200, 2.111200
insightsportal_in_2,/content/dynamic/amdbundledefinition_1dfc9b17c6fd8e461b982df19071b52204948f29.js,1.630533, 1.188300, 2.154000
insightsportal_in_2,/content/dynamic/amdbundledefinition_83a790765e3dc1fed264da00cdc6baa7a0fda723.js,1.775779, 1.166700, 4.209900
insightsportal_in_2,/content/dynamic/amdresourcedefinition_1e2e3314c5772185c2dac314c3fe016ff525723c.js,5.572460, 2.489900, 15.295400
insightsportal_in_2,/content/dynamic/amdbundledefinition_4310c3db7be7513d29548f2d1be16b43cd1ddf29.js,3.218700, 2.494500, 4.125300
insightsportal_in_2,/content/1.0.5758.14696/scripts/msportal.azure.js,2.032400, 2.032400, 2.032400
insightsportal_in_2,/content/1.0.5765.15617/scripts/extensionbootstrap/extensionbootstrap.js,2.230100, 2.230100, 2.230100
insightsportal_in_2,/content/1.0.5749.19866/scripts/websites/viewmodels/createapplicationviewmodel.js,2.213900, 2.213900, 2.213900
insightsportal_in_2,/content/dynamic/amdbundledefinition_e3648e53895bacb24808a1c1c6b134ceec7e8813.js,3.192850, 1.431000, 16.724600
insightsportal_in_2,/content/1.0.5750.22109/scripts/overview/viewmodels/devicesnoticepartviewmodel.js,3.164200, 3.164200, 3.164200
insightsportal_in_2,/content/dynamic/amdbundledefinition_c1a41607df4eb8c9284fd2e99c8d3281ddff1efe.js,2.072625, 1.431900, 3.317100
insightsportal_in_2,/content/dynamic/amdbundledefinition_9eba4c469752be8f7e8b24401cebb89cec4b79e2.js,1.565040, 1.249600, 1.955500
insightsportal_in_2,/content/dynamic/amdbundledefinition_009738dfbd85357f3825a1594830fc21da292a48.js,2.271180, 1.664500, 2.940700
insightsportal_in_2,/content/dynamic/amdbundledefinition_d48970580b3b2155b7ddccab91d2407c8195afe4.js,2.121350, 1.943000, 2.299700
insightsportal_in_2,/content/1.0.5749.19866/scripts/shared/dataqueries/webtestsquery.js,1.736900, 1.736900, 1.736900
insightsportal_in_2,/content/1.0.5758.14696/scripts/shared/flightingservice.js,2.104100, 2.104100, 2.104100
insightsportal_in_2,/content/dynamic/amdbundledefinition_4e7b09d0ddde5b7b1d01ae5ad4e09950a9a10304.js,1.649500, 1.649500, 1.649500
insightsportal_in_2,/content/dynamic/amdbundledefinition_c5968bb052e295dd55b766ac9758e1b8c4bb5844.js,1.427400, 1.427400, 1.427400
insightsportal_in_2,/api/ping,7.975767, 1.351000, 5596.912200
insightsportal_in_2,/content/dynamic/amdresourcedefinition_961bee59c759cf41824361c3ddadf6fe01c10463.js,59.116700, 59.116700, 59.116700
insightsportal_in_2,/content/dynamic/amdresourcedefinition_ee74b3b5edf6969c87e262b41ba0e45312a3a7d3.js,2.000825, 1.762400, 2.309900
insightsportal_in_2,/content/1.0.5764.28236/scripts/shared/datamodels/metadatacollection.js,2.579200, 2.579200, 2.579200
insightsportal_in_2,/content/1.0.5772.20755/scripts/shared/datacacheloaderbatch.js,2.243000, 2.243000, 2.243000
insightsportal_in_2,/content/dynamic/amdbundledefinition_4d2e3ef907745388a240f56aec64879e40affa63.js,1.806845, 1.163400, 3.471800
insightsportal_in_2,/content/dynamic/amdresourcedefinition_8029faa55f804f0edfc66c0f84bbb76d400a2ba3.js,6.558392, 1.723600, 45.565000
insightsportal_in_2,/content/1.0.5764.28236/scripts/shared/metricsexplorerchartdefinition.js,2.968500, 2.968500, 2.968500
insightsportal_in_2,/content/dynamic/amdresourcedefinition_9575dbced127cb50e3af64ad1f2812a328327295.js,1.772500, 1.772500, 1.772500
insightsportal_in_2,/content/dynamic/amdbundledefinition_b46ea520f42405676d2adb500b36fa91cbd2689d.js,3.709933, 2.206300, 5.229800
insightsportal_in_2,/content/1.0.5763.27345/images/intro/exceptions1.png,5.156000, 1.853600, 8.458400
insightsportal_in_2,/content/1.0.5764.28236/scripts/shared/datamodels/perfstoremetricseries.js,2.094100, 2.094100, 2.094100
insightsportal_in_2,/content/1.0.5772.20755/scripts/loadaisdk.js,2.575000, 2.575000, 2.575000
insightsportal_in_2,/content/1.0.5749.19866/scripts/overview/viewmodels/searchcommandviewmodel.js,54.924800, 54.924800, 54.924800
insightsportal_in_2,/content/1.0.5749.19866/scripts/search/viewmodels/setuploggingcommandviewmodel.js,2.454800, 2.454800, 2.454800
insightsportal_in_2,/content/dynamic/amdbundledefinition_58e46f75cfea02037c344f26d6c3b54b5a72b99f.js,1.349600, 1.349600, 1.349600
insightsportal_in_2,/content/dynamic/amdbundledefinition_5a8aa53e5eed9ce2f74587f4e8d0068e02a6d41a.js,2.020483, 1.215400, 5.020700
insightsportal_in_2,/content/1.0.5749.19866/scripts/msportal.azure.js,1.838100, 1.838100, 1.838100
insightsportal_in_2,/content/dynamic/amdresourcedefinition_abd697a6b2e1549c4442922071cc0b28d742edfa.js,2.977767, 1.756100, 5.083200
insightsportal_in_2,/content/dynamic/amdbundledefinition_3386a543c0f26639916641a449f02aa49da46ef6.js,3.550300, 3.550300, 3.550300
insightsportal_in_2,/content/1.0.5765.15617/scripts/knockout-mapping.js,5.354100, 5.354100, 5.354100
insightsportal_in_2,/content/dynamic/amdbundledefinition_077bcc7bcbd3548c024dee3f91be2e656c9b02b0.js,5.277880, 4.401800, 6.234800
insightsportal_in_2,/content/1.0.5756.21123/scripts/shared/favoriteeditscopeswitch.js,1.257600, 1.257600, 1.257600
insightsportal_in_2,/content/dynamic/amdbundledefinition_8bd7171d86b2d85a0a03a85e1309e7d74db3a857.js,1.440720, 1.125200, 1.745700
insightsportal_in_2,/content/dynamic/amdresourcedefinition_280f217d3f94a38a039ffe0712519390a847e93c.js,36.460800, 36.460800, 36.460800
insightsportal_in_2,/content/dynamic/amdresourcedefinition_630c6b9e998efb9c29adfc8af3168e0e9ca3fa31.js,8.424971, 1.793800, 83.964900
insightsportal_in_2,/content/dynamic/amdbundledefinition_d24deae845fac9da7a012959172f91d54046adb5.js,1.800233, 1.276300, 3.763600
insightsportal_in_2,/content/1.0.5764.28236/scripts/billing/datamodels/overagepricesquery.js,2.147800, 2.147800, 2.147800
insightsportal_in_2,/content/dynamic/amdbundledefinition_d13830c569be9f9a05a8587d76573519661d3753.js,2.299314, 1.871400, 3.233700
insightsportal_in_2,/content/dynamic/amdbundledefinition_745cacac8f450c27194541484992d7cd9261c3e2.js,1.576600, 1.476200, 1.677000
insightsportal_in_2,/content/dynamic/amdbundledefinition_66f8543376b9f44a94f4ebf5228c811bd500447a.js,2.476225, 1.385800, 5.244000
insightsportal_in_2,/content/dynamic/amdbundledefinition_bfd2833bb152271aeb629591b786309e241fdfff.js,1.666300, 1.666300, 1.666300
insightsportal_in_2,/content/dynamic/amdbundledefinition_12c142561e6df97ca11049340bf7de014b735a09.js,2.272367, 1.479000, 3.735200
insightsportal_in_2,/content/dynamic/amdresourcedefinition_0a6673ce1561da0e53b586d92712ab1a23a56e99.js,1.955600, 1.955600, 1.955600
insightsportal_in_2,/content/dynamic/amdbundledefinition_dcf80330c6173d746fee5b0b076aa115e9ba8f3e.js,3.749662, 1.124700, 14.564200
insightsportal_in_2,/content/1.0.5749.19866/scripts/search/viewmodels/introbladeviewmodel.js,2.187400, 2.187400, 2.187400
insightsportal_in_2,/content/dynamic/amdbundledefinition_567913cbea72ff55fc8ee1f95fddf1358d31fe63.js,1580.559100, 2.558300, 3158.559900
